name,state,address,phone,type,lat,lon,photo,opening_event,
Fridayforfuture Falkenberg,,"Falkenberg Hallands län, Sverige",,office,56.9046,12.4919,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Söderhamn,,"Söderhamn Gävleborgs län, Sverige",,office,61.2999,17.0608,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Bovallstrand,,"Bovallstrand Västra Götalands län, Sverige",,office,58.4747,11.3188,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Vetlanda,,"Vetlanda Jönköpings län, Sverige",,office,57.426,15.087,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Mariestad,,"Mariestad Västra Götalands län, Sverige",,office,58.7093,13.8229,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Bräcke,,"Bräcke kommun Jämtlands län, Sverige",,office,62.7521,15.4199,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lycksele,,"Lycksele kommun Västerbottens län, Sverige",,office,64.5959,18.6778,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Skurup,,"Skurups kommun Skåne län, Sverige",,office,55.4839,13.5015,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Eskilstuna,,"Eskilstuna Södermanlands län, Sverige",,office,59.3717,16.5051,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Lidköping,,"Lidköping Västra Götalands län, Sverige",,office,58.5037,13.1576,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Jönköping,,"Jönköpings kommun Jönköpings län, Sverige",,office,57.7815,14.1628,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Sollefteå,,"Sollefteå Västernorrlands län, Sverige",,office,63.168,17.2654,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Håbo,,"Habo Jönköpings län, Sverige",,office,57.9092,14.0744,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Arboga,,"Arboga kommun Västmanlands län, Sverige",,office,59.3942,15.8397,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Svalöv,,"Svalövs kommun Skåne län, Sverige",,office,55.9137,13.107,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Arvika,,"Arvika Värmlands län, Sverige",,office,59.6544,12.5916,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Sundbyberg,,"Sundbybergs kommun Stockholms län, Sverige",,office,59.3629,17.9681,,https://www.facebook.com/groups/929294497203110/,
Fridayforfuture Jokkmokk,,"Jokkmokk Norrbottens län, Sverige",,office,66.6059,19.8379,,https://www.facebook.com/groups/929294497203110/,
